Experience_ID,Title,City,Type,Base_Price_EUR,Duration_Hours,Main_Features,Supported_Languages,Avg_Rating,Review_Count
EXP000033,Adventure Park Experience in Valencia,Valencia,Adventure Park,157.07,7.0,"Skip-the-line, Private group, Free cancellation","en,de",3.65,2422
EXP000034,Visit the Museum of Alicante,Alicante,Museum Ticket,221.22,2.6,"Multi-language guide, Private group, Wheelchair accessible","en,de",4.08,6398
EXP000035,Guided Tour in Alicante,Alicante,Guided Tour,65.82,8.0,"Free cancellation, Multi-language guide, Private group","en,de",4.23,5066
EXP000036,Visit the Museum of Cordoba,Cordoba,Museum Ticket,199.54,7.6,"Skip-the-line, Multi-language guide, Private group, Instant confirmation","en,de",4.76,2636
EXP000037,Guided Tour in Tenerife,Tenerife,Guided Tour,124.66,7.2,"Instant confirmation, Skip-the-line, Private group","en,de",3.77,3413
EXP000038,Kayaking Adventure in Granada,Granada,Kayaking,87.84,5.1,"Wheelchair accessible, Private group, Free cancellation, Skip-the-line","en,de",4.07,4103
EXP000039,Adventure Park Experience in Tenerife,Tenerife,Adventure Park,127.8,7.8,"Wheelchair accessible, Private group, Skip-the-line, Multi-language guide","en,de",3.62,2883
EXP000040,Local Market Tour in Seville,Seville,Local Market Tour,24.61,6.4,"Wheelchair accessible, Multi-language guide, Free cancellation, Instant confirmation","en,de",3.44,6572
EXP000041,Visit the Museum of Madrid,Madrid,Museum Ticket,35.95,5.3,"Wheelchair accessible, Free cancellation, Private group, Skip-the-line","en,es",4.24,341
EXP000042,Guided Tour in Ibiza,Ibiza,Guided Tour,163.54,3.8,"Private group, Skip-the-line, Free cancellation, Wheelchair accessible","en,de",4.26,4134
EXP000043,Architecture Walk through Madrid,Madrid,Architecture Walk,209.01,4.6,"Wheelchair accessible, Free cancellation","en,es",4.78,5167
EXP000044,Cooking Class in San Sebastian,San Sebastian,Cooking Class,172.2,7.2,"Free cancellation, Multi-language guide","en,de",4.46,3135
EXP000045,Local Market Tour in Barcelona,Barcelona,Local Market Tour,163.41,2.0,"Instant confirmation, Free cancellation, Wheelchair accessible, Skip-the-line","en,es",4.24,1925
EXP000046,Flamenco Show in Cordoba,Cordoba,Flamenco Show,87.13,7.8,"Multi-language guide, Private group, Wheelchair accessible, Free cancellation","en,de",4.11,6956
EXP000047,Architecture Walk through Valencia,Valencia,Architecture Walk,62.6,5.4,"Instant confirmation, Multi-language guide, Wheelchair accessible","en,de",4.06,4516
EXP000048,Guided Tour in Alicante,Alicante,Guided Tour,107.9,5.6,"Free cancellation, Skip-the-line, Private group","en,de",4.38,5862
EXP000049,Wine Tasting in Barcelona,Barcelona,Wine Tasting,245.13,1.1,"Free cancellation, Instant confirmation, Private group, Wheelchair accessible","en,es",4.19,3643
EXP000050,Local Market Tour in Santiago,Santiago,Local Market Tour,50.97,8.0,"Skip-the-line, Free cancellation, Instant confirmation, Multi-language guide","en,de",4.14,2764
EXP000051,Architecture Walk through Malaga,Malaga,Architecture Walk,204.15,4.7,"Free cancellation, Private group, Skip-the-line","en,de",4.41,5246
EXP000052,Hiking Trail in Bilbao,Bilbao,Hiking,114.39,3.2,"Private group, Instant confirmation, Wheelchair accessible, Multi-language guide","en,de",4.72,7225
EXP000053,Architecture Walk through Cordoba,Cordoba,Architecture Walk,153.85,4.3,"Wheelchair accessible, Skip-the-line, Instant confirmation, Private group","en,de",4.56,7009
EXP000054,Local Market Tour in Tenerife,Tenerife,Local Market Tour,32.92,6.2,"Free cancellation, Private group, Multi-language guide, Instant confirmation","en,de",4.15,7537
EXP000055,Architecture Walk through Granada,Granada,Architecture Walk,47.87,2.0,"Skip-the-line, Wheelchair accessible","en,de",4.95,3213
EXP000056,Architecture Walk through Seville,Seville,Architecture Walk,195.98,6.7,"Wheelchair accessible, Free cancellation","en,de",4.05,2191
EXP000057,Architecture Walk through Santiago,Santiago,Architecture Walk,123.22,4.8,"Free cancellation, Multi-language guide","en,de",4.09,3486
EXP000058,Adventure Park Experience in Palma,Palma,Adventure Park,75.81,5.0,"Instant confirmation, Wheelchair accessible","en,de",4.68,5062
EXP000059,Wine Tasting in Zaragoza,Zaragoza,Wine Tasting,57.45,7.1,"Multi-language guide, Instant confirmation, Wheelchair accessible","en,de",4.73,1650
EXP000060,Guided Tour in Alicante,Alicante,Guided Tour,121.15,1.4,"Multi-language guide, Instant confirmation, Wheelchair accessible","en,de",3.83,7116
EXP000061,Wine Tasting in Alicante,Alicante,Wine Tasting,20.44,7.9,"Free cancellation, Private group","en,de",4.24,6869
EXP000062,Cooking Class in Madrid,Madrid,Cooking Class,72.56,7.4,"Multi-language guide, Private group, Wheelchair accessible, Instant confirmation","en,es",4.23,290
EXP000063,Cooking Class in San Sebastian,San Sebastian,Cooking Class,235.26,1.9,"Instant confirmation, Free cancellation","en,de",4.13,5642
EXP000064,Local Market Tour in Tenerife,Tenerife,Local Market Tour,34.38,3.3,"Private group, Skip-the-line, Free cancellation, Instant confirmation","en,de",4.27,7438
EXP000065,Guided Tour in Zaragoza,Zaragoza,Guided Tour,134.92,5.2,"Skip-the-line, Instant confirmation, Wheelchair accessible","en,de",4.47,541
EXP000066,Guided Tour in Valencia,Valencia,Guided Tour,248.37,2.3,"Multi-language guide, Instant confirmation","en,de",3.46,5721
EXP000067,Cooking Class in Palma,Palma,Cooking Class,99.88,5.6,"Private group, Instant confirmation","en,de",4.35,3533
EXP000068,Architecture Walk through Alicante,Alicante,Architecture Walk,228.03,2.3,"Multi-language guide, Wheelchair accessible","en,de",4.17,1379
EXP000069,Hiking Trail in Seville,Seville,Hiking,165.84,3.8,"Free cancellation, Wheelchair accessible","en,de",3.73,2507
EXP000070,Wine Tasting in Valencia,Valencia,Wine Tasting,228.56,5.8,"Free cancellation, Private group","en,de",3.9,4364
EXP000071,Local Market Tour in Santiago,Santiago,Local Market Tour,101.25,4.1,"Private group, Skip-the-line, Multi-language guide, Instant confirmation","en,de",4.0,4195
EXP000072,Flamenco Show in Malaga,Malaga,Flamenco Show,166.84,3.3,"Private group, Skip-the-line, Wheelchair accessible, Instant confirmation","en,de",4.32,4915
EXP000073,Wine Tasting in Barcelona,Barcelona,Wine Tasting,112.32,2.2,"Instant confirmation, Free cancellation, Multi-language guide","en,es",4.21,388
EXP000074,Hiking Trail in Barcelona,Barcelona,Hiking,23.7,3.6,"Free cancellation, Skip-the-line, Multi-language guide","en,es",4.05,7097
EXP000075,Flamenco Show in Santiago,Santiago,Flamenco Show,42.18,5.6,"Multi-language guide, Wheelchair accessible, Free cancellation, Skip-the-line","en,de",3.91,745
EXP000076,Kayaking Adventure in Madrid,Madrid,Kayaking,33.82,3.3,"Instant confirmation, Wheelchair accessible, Skip-the-line","en,es",3.98,6940
EXP000077,Flamenco Show in Alicante,Alicante,Flamenco Show,61.57,5.4,"Multi-language guide, Instant confirmation","en,de",4.56,574
EXP000078,Hiking Trail in Bilbao,Bilbao,Hiking,205.59,6.0,"Multi-language guide, Instant confirmation, Skip-the-line","en,de",3.99,2201
EXP000079,Wine Tasting in Alicante,Alicante,Wine Tasting,187.79,4.9,"Instant confirmation, Wheelchair accessible, Skip-the-line","en,de",4.02,4824
EXP000080,Guided Tour in Tenerife,Tenerife,Guided Tour,181.85,4.5,"Skip-the-line, Instant confirmation, Free cancellation, Private group","en,de",4.4,4656
EXP000081,Cooking Class in Barcelona,Barcelona,Cooking Class,125.71,3.3,"Wheelchair accessible, Instant confirmation, Private group","en,es",3.84,3221
EXP000082,Cooking Class in Cordoba,Cordoba,Cooking Class,194.93,2.1,"Private group, Skip-the-line, Instant confirmation, Free cancellation","en,de",4.34,4647
EXP000083,Adventure Park Experience in Cordoba,Cordoba,Adventure Park,103.77,7.6,"Skip-the-line, Free cancellation, Multi-language guide","en,de",4.32,7350
EXP000084,Local Market Tour in Bilbao,Bilbao,Local Market Tour,207.0,2.8,"Instant confirmation, Private group, Free cancellation, Multi-language guide","en,de",4.24,5437
EXP000085,Local Market Tour in Valencia,Valencia,Local Market Tour,132.69,7.6,"Private group, Instant confirmation, Skip-the-line","en,de",3.84,301
EXP000086,Visit the Museum of Valencia,Valencia,Museum Ticket,171.8,1.0,"Private group, Multi-language guide, Wheelchair accessible, Free cancellation","en,de",3.7,2746
EXP000087,Wine Tasting in Malaga,Malaga,Wine Tasting,190.61,6.9,"Multi-language guide, Skip-the-line, Private group","en,de",4.29,6480
EXP000088,Adventure Park Experience in Tenerife,Tenerife,Adventure Park,216.88,4.3,"Instant confirmation, Free cancellation, Wheelchair accessible, Multi-language guide","en,de",4.01,3296
EXP000089,Kayaking Adventure in Tenerife,Tenerife,Kayaking,180.2,6.4,"Instant confirmation, Free cancellation, Multi-language guide","en,de",3.41,7401
EXP000090,Architecture Walk through Zaragoza,Zaragoza,Architecture Walk,17.93,6.2,"Skip-the-line, Free cancellation, Private group","en,de",4.71,2225
EXP000091,Local Market Tour in Seville,Seville,Local Market Tour,51.69,5.3,"Free cancellation, Private group, Wheelchair accessible, Instant confirmation","en,de",4.71,6664
EXP000092,Architecture Walk through Seville,Seville,Architecture Walk,43.81,6.0,"Free cancellation, Wheelchair accessible, Instant confirmation","en,de",4.07,1465
EXP000093,Kayaking Adventure in Palma,Palma,Kayaking,214.82,6.3,"Instant confirmation, Wheelchair accessible, Multi-language guide, Skip-the-line","en,de",4.47,2104
EXP000094,Adventure Park Experience in Palma,Palma,Adventure Park,59.18,6.9,"Multi-language guide, Private group","en,de",4.0,5453
EXP000095,Hiking Trail in Palma,Palma,Hiking,51.73,4.8,"Multi-language guide, Free cancellation","en,de",3.76,4830
EXP000096,Guided Tour in Santiago,Santiago,Guided Tour,167.83,7.3,"Free cancellation, Skip-the-line","en,de",4.8,943
EXP000097,Wine Tasting in Alicante,Alicante,Wine Tasting,84.45,6.0,"Instant confirmation, Free cancellation, Wheelchair accessible","en,de",4.45,3519
EXP000098,Local Market Tour in San Sebastian,San Sebastian,Local Market Tour,18.04,7.5,"Instant confirmation, Free cancellation","en,de",4.66,5516
EXP000099,Kayaking Adventure in Palma,Palma,Kayaking,102.39,4.5,"Private group, Skip-the-line, Wheelchair accessible, Free cancellation","en,de",4.64,6383
EXP000100,Local Market Tour in Cordoba,Cordoba,Local Market Tour,233.24,3.9,"Skip-the-line, Private group, Multi-language guide, Free cancellation","en,de",3.95,5579
EXP000101,Hiking Trail in Palma,Palma,Hiking,193.87,1.6,"Multi-language guide, Instant confirmation","en,de",3.1,5234
EXP000102,Architecture Walk through Palma,Palma,Architecture Walk,238.49,1.2,"Multi-language guide, Skip-the-line, Instant confirmation","en,de",4.85,6380
EXP000103,Flamenco Show in Bilbao,Bilbao,Flamenco Show,34.64,4.2,"Free cancellation, Private group, Skip-the-line, Wheelchair accessible","en,de",3.45,7494
EXP000104,Adventure Park Experience in Bilbao,Bilbao,Adventure Park,191.54,6.1,"Free cancellation, Skip-the-line, Wheelchair accessible, Multi-language guide","en,de",4.11,1769
EXP000105,Hiking Trail in Cordoba,Cordoba,Hiking,204.41,3.8,"Wheelchair accessible, Instant confirmation","en,de",3.74,3264
EXP000106,Visit the Museum of Malaga,Malaga,Museum Ticket,118.83,4.2,"Multi-language guide, Wheelchair accessible, Instant confirmation","en,de",3.96,1141
EXP000107,Guided Tour in Zaragoza,Zaragoza,Guided Tour,46.38,1.8,"Free cancellation, Skip-the-line, Wheelchair accessible","en,de",4.86,7871
EXP000108,Cooking Class in Alicante,Alicante,Cooking Class,163.41,6.0,"Private group, Instant confirmation, Multi-language guide, Wheelchair accessible","en,de",4.68,7473
EXP000109,Guided Tour in Barcelona,Barcelona,Guided Tour,142.17,3.2,"Multi-language guide, Skip-the-line","en,es",3.94,1484
EXP000110,Adventure Park Experience in Zaragoza,Zaragoza,Adventure Park,103.35,7.6,"Private group, Free cancellation, Instant confirmation, Wheelchair accessible","en,de",5.0,5600
EXP000111,Adventure Park Experience in Santiago,Santiago,Adventure Park,59.22,3.6,"Instant confirmation, Free cancellation, Wheelchair accessible, Private group","en,de",4.33,4979
EXP000112,Visit the Museum of Valencia,Valencia,Museum Ticket,35.69,7.3,"Wheelchair accessible, Private group","en,de",4.45,3248
EXP000113,Guided Tour in Seville,Seville,Guided Tour,218.41,3.6,"Instant confirmation, Private group, Multi-language guide, Free cancellation","en,de",4.53,973
EXP000114,Visit the Museum of Valencia,Valencia,Museum Ticket,193.43,1.3,"Wheelchair accessible, Instant confirmation, Free cancellation","en,de",3.82,6063
EXP000115,Adventure Park Experience in Palma,Palma,Adventure Park,125.98,2.3,"Multi-language guide, Wheelchair accessible","en,de",4.46,4304
EXP000116,Wine Tasting in Cordoba,Cordoba,Wine Tasting,166.55,2.8,"Private group, Instant confirmation","en,de",5.0,4569
EXP000117,Wine Tasting in Alicante,Alicante,Wine Tasting,108.99,5.4,"Private group, Wheelchair accessible, Skip-the-line","en,de",4.01,4601
EXP000118,Wine Tasting in Palma,Palma,Wine Tasting,33.71,3.8,"Multi-language guide, Skip-the-line, Free cancellation, Wheelchair accessible","en,de",4.4,107
EXP000119,Architecture Walk through Zaragoza,Zaragoza,Architecture Walk,208.36,4.9,"Free cancellation, Multi-language guide","en,de",4.99,1449
EXP000120,Cooking Class in Valencia,Valencia,Cooking Class,245.47,3.0,"Instant confirmation, Multi-language guide, Wheelchair accessible, Private group","en,de",4.72,40
EXP000121,Local Market Tour in Cordoba,Cordoba,Local Market Tour,175.22,1.1,"Skip-the-line, Private group, Multi-language guide, Wheelchair accessible","en,de",4.23,7828
EXP000122,Guided Tour in Seville,Seville,Guided Tour,145.32,2.7,"Free cancellation, Skip-the-line","en,de",3.88,3469
EXP000123,Architecture Walk through Zaragoza,Zaragoza,Architecture Walk,97.16,5.7,"Multi-language guide, Free cancellation, Wheelchair accessible, Private group","en,de",4.31,7638
EXP000124,Local Market Tour in Malaga,Malaga,Local Market Tour,75.33,3.2,"Multi-language guide, Skip-the-line, Free cancellation, Wheelchair accessible","en,de",4.15,4624
EXP000125,Architecture Walk through Ibiza,Ibiza,Architecture Walk,134.91,2.1,"Instant confirmation, Private group, Skip-the-line, Wheelchair accessible","en,de",4.05,430
EXP000126,Cooking Class in Palma,Palma,Cooking Class,242.29,3.2,"Private group, Skip-the-line, Multi-language guide","en,de",3.88,3096
EXP000127,Architecture Walk through Granada,Granada,Architecture Walk,221.84,7.8,"Private group, Wheelchair accessible, Skip-the-line, Multi-language guide","en,de",4.15,2721
EXP000128,Architecture Walk through Ibiza,Ibiza,Architecture Walk,57.26,2.3,"Multi-language guide, Private group, Free cancellation, Skip-the-line","en,de",4.45,6020
EXP000129,Wine Tasting in Tenerife,Tenerife,Wine Tasting,48.59,5.3,"Instant confirmation, Skip-the-line","en,de",3.52,5950
EXP000130,Local Market Tour in Santiago,Santiago,Local Market Tour,168.76,5.7,"Wheelchair accessible, Private group, Free cancellation, Multi-language guide","en,de",4.04,1606
EXP000131,Cooking Class in Barcelona,Barcelona,Cooking Class,233.53,7.4,"Skip-the-line, Instant confirmation","en,es",4.2,4194
EXP000132,Flamenco Show in Madrid,Madrid,Flamenco Show,225.8,3.1,"Skip-the-line, Multi-language guide, Private group","en,es",4.48,3501
EXP000133,Cooking Class in Seville,Seville,Cooking Class,229.2,7.9,"Wheelchair accessible, Free cancellation, Private group, Skip-the-line","en,de",4.61,4665
EXP000134,Hiking Trail in Valencia,Valencia,Hiking,23.19,3.3,"Instant confirmation, Skip-the-line","en,de",4.48,4808
EXP000135,Visit the Museum of Malaga,Malaga,Museum Ticket,228.93,3.2,"Multi-language guide, Wheelchair accessible, Skip-the-line","en,de",4.32,4005
EXP000136,Flamenco Show in Palma,Palma,Flamenco Show,241.64,6.3,"Skip-the-line, Wheelchair accessible","en,de",4.33,6299
EXP000137,Visit the Museum of San Sebastian,San Sebastian,Museum Ticket,107.05,8.0,"Multi-language guide, Instant confirmation, Free cancellation, Private group","en,de",3.96,5699
EXP000138,Wine Tasting in Zaragoza,Zaragoza,Wine Tasting,133.83,4.2,"Instant confirmation, Wheelchair accessible","en,de",4.2,2175
EXP000139,Adventure Park Experience in San Sebastian,San Sebastian,Adventure Park,215.27,4.1,"Private group, Instant confirmation, Skip-the-line","en,de",4.27,220
EXP000140,Flamenco Show in Bilbao,Bilbao,Flamenco Show,228.17,2.8,"Private group, Free cancellation, Skip-the-line","en,de",4.28,834
EXP000141,Wine Tasting in San Sebastian,San Sebastian,Wine Tasting,62.45,4.9,"Multi-language guide, Free cancellation, Skip-the-line, Private group","en,de",4.69,6176
EXP000142,Visit the Museum of Cordoba,Cordoba,Museum Ticket,108.09,4.4,"Multi-language guide, Private group","en,de",4.1,1829
EXP000143,Visit the Museum of San Sebastian,San Sebastian,Museum Ticket,46.94,5.6,"Multi-language guide, Private group","en,de",4.5,2205
EXP000144,Cooking Class in Valencia,Valencia,Cooking Class,146.29,5.6,"Free cancellation, Private group","en,de",3.47,6680
EXP000145,Hiking Trail in Zaragoza,Zaragoza,Hiking,237.87,3.1,"Free cancellation, Wheelchair accessible, Skip-the-line","en,de",5.0,5575
EXP000146,Local Market Tour in Seville,Seville,Local Market Tour,141.97,3.8,"Skip-the-line, Instant confirmation, Free cancellation","en,de",4.42,7931
EXP000147,Adventure Park Experience in Santiago,Santiago,Adventure Park,181.27,2.0,"Instant confirmation, Private group, Wheelchair accessible, Skip-the-line","en,de",4.39,6514
EXP000148,Hiking Trail in San Sebastian,San Sebastian,Hiking,202.88,6.2,"Skip-the-line, Wheelchair accessible","en,de",3.95,3044
EXP000149,Guided Tour in Alicante,Alicante,Guided Tour,162.02,5.9,"Wheelchair accessible, Multi-language guide","en,de",4.34,7045
EXP000150,Hiking Trail in Alicante,Alicante,Hiking,209.42,3.6,"Wheelchair accessible, Private group, Multi-language guide","en,de",4.42,5375
EXP000151,Cooking Class in Granada,Granada,Cooking Class,124.92,2.6,"Free cancellation, Skip-the-line, Private group, Wheelchair accessible","en,de",3.4,4537
EXP000152,Adventure Park Experience in Madrid,Madrid,Adventure Park,129.02,7.7,"Multi-language guide, Wheelchair accessible","en,es",4.43,1293
EXP000153,Wine Tasting in Alicante,Alicante,Wine Tasting,192.58,1.1,"Wheelchair accessible, Instant confirmation, Multi-language guide, Free cancellation","en,de",4.01,5587
EXP000154,Visit the Museum of Ibiza,Ibiza,Museum Ticket,34.67,2.0,"Free cancellation, Private group, Multi-language guide, Skip-the-line","en,de",3.37,1866
EXP000155,Wine Tasting in Seville,Seville,Wine Tasting,125.96,2.0,"Instant confirmation, Private group","en,de",3.59,444
EXP000156,Architecture Walk through Bilbao,Bilbao,Architecture Walk,206.73,7.3,"Instant confirmation, Multi-language guide","en,de",3.9,2542
EXP000157,Wine Tasting in Ibiza,Ibiza,Wine Tasting,76.43,4.3,"Skip-the-line, Wheelchair accessible","en,de",4.41,388
EXP000158,Cooking Class in Malaga,Malaga,Cooking Class,171.29,3.6,"Private group, Instant confirmation, Free cancellation, Multi-language guide","en,de",5.0,4763
EXP000159,Adventure Park Experience in Seville,Seville,Adventure Park,163.56,3.4,"Private group, Instant confirmation","en,de",4.41,5312
EXP000160,Architecture Walk through Ibiza,Ibiza,Architecture Walk,241.73,1.4,"Wheelchair accessible, Multi-language guide, Skip-the-line, Instant confirmation","en,de",5.0,4569
EXP000161,Cooking Class in Cordoba,Cordoba,Cooking Class,84.32,6.7,"Wheelchair accessible, Multi-language guide, Instant confirmation, Private group","en,de",4.63,4369
EXP000162,Hiking Trail in Tenerife,Tenerife,Hiking,249.76,7.6,"Wheelchair accessible, Multi-language guide, Skip-the-line","en,de",4.36,3690
EXP000163,Kayaking Adventure in Valencia,Valencia,Kayaking,129.17,7.9,"Private group, Free cancellation, Skip-the-line","en,de",4.55,2907
EXP000164,Visit the Museum of Valencia,Valencia,Museum Ticket,145.2,2.0,"Instant confirmation, Multi-language guide","en,de",3.53,5803
EXP000165,Wine Tasting in Bilbao,Bilbao,Wine Tasting,185.88,4.2,"Multi-language guide, Free cancellation","en,de",4.11,925
EXP000166,Cooking Class in Seville,Seville,Cooking Class,153.11,2.3,"Skip-the-line, Free cancellation, Wheelchair accessible, Multi-language guide","en,de",3.72,2612
EXP000167,Architecture Walk through Seville,Seville,Architecture Walk,125.88,6.9,"Wheelchair accessible, Private group","en,de",4.42,1704
EXP000168,Hiking Trail in Zaragoza,Zaragoza,Hiking,75.02,4.6,"Wheelchair accessible, Multi-language guide, Skip-the-line","en,de",4.84,1816
EXP000169,Local Market Tour in Palma,Palma,Local Market Tour,40.23,6.8,"Multi-language guide, Wheelchair accessible, Skip-the-line","en,de",4.26,4867
EXP000170,Adventure Park Experience in Cordoba,Cordoba,Adventure Park,89.53,2.1,"Skip-the-line, Private group, Instant confirmation, Free cancellation","en,de",4.56,7521
EXP000171,Local Market Tour in Tenerife,Tenerife,Local Market Tour,232.17,3.9,"Free cancellation, Instant confirmation, Multi-language guide, Private group","en,de",4.07,7893
EXP000172,Visit the Museum of Malaga,Malaga,Museum Ticket,195.7,7.9,"Private group, Wheelchair accessible, Skip-the-line, Free cancellation","en,de",5.0,7573
EXP000173,Flamenco Show in Bilbao,Bilbao,Flamenco Show,39.45,5.2,"Skip-the-line, Private group","en,de",4.56,528
EXP000174,Flamenco Show in Bilbao,Bilbao,Flamenco Show,237.24,3.9,"Wheelchair accessible, Instant confirmation","en,de",4.45,7613
EXP000175,Adventure Park Experience in San Sebastian,San Sebastian,Adventure Park,148.19,4.9,"Wheelchair accessible, Private group, Instant confirmation","en,de",4.62,6325
EXP000176,Guided Tour in Granada,Granada,Guided Tour,60.67,6.7,"Private group, Wheelchair accessible, Skip-the-line, Multi-language guide","en,de",4.33,1962
EXP000177,Guided Tour in Madrid,Madrid,Guided Tour,158.76,5.8,"Instant confirmation, Private group, Free cancellation, Skip-the-line","en,es",3.47,1083
EXP000178,Visit the Museum of Bilbao,Bilbao,Museum Ticket,186.76,4.9,"Private group, Skip-the-line, Wheelchair accessible","en,de",4.6,3170
EXP000179,Architecture Walk through Zaragoza,Zaragoza,Architecture Walk,48.53,6.7,"Instant confirmation, Free cancellation, Wheelchair accessible","en,de",4.43,3580
EXP000180,Wine Tasting in Malaga,Malaga,Wine Tasting,175.12,1.9,"Wheelchair accessible, Private group, Multi-language guide","en,de",4.0,3845
EXP000181,Hiking Trail in Palma,Palma,Hiking,173.09,7.3,"Wheelchair accessible, Private group, Instant confirmation","en,de",3.81,1985
EXP000182,Architecture Walk through Seville,Seville,Architecture Walk,62.56,7.5,"Wheelchair accessible, Private group, Instant confirmation, Free cancellation","en,de",4.66,2284
EXP000183,Kayaking Adventure in Malaga,Malaga,Kayaking,124.3,1.5,"Private group, Instant confirmation, Skip-the-line, Free cancellation","en,de",4.44,498
EXP000184,Flamenco Show in Bilbao,Bilbao,Flamenco Show,41.13,6.0,"Multi-language guide, Instant confirmation, Wheelchair accessible, Private group","en,de",4.29,1609
